"transfusion_year","sex","transfusion_age","survival_time","susceptible","transfusion_age_midpoint","variable","probability","expected_survivors","expected_deaths","observed_deaths","obs_to_exp"
1999,"female","0",5,123,0,"survival_0_5",0.994382499872896,122.309047484366,0.690952515633796,6,8.68366474430783
1999,"female","1 - 9",5,105,5,"survival_0_5",0.999419133314933,104.939008998068,0.0609910019320239,15,245.937917477039
1999,"female","10 - 19",5,150,15,"survival_0_5",0.998392023113733,149.75880346706,0.241196532940052,9,37.3139691947268
1999,"female","20 - 29",5,365,25,"survival_0_5",0.997727065690219,364.17037897693,0.829621023070104,10,12.0536964733535
1999,"female","30 - 39",5,497,35,"survival_0_5",0.995562817806039,494.794720449601,2.20527955039864,54,24.4866914900828
1999,"female","40 - 49",5,444,45,"survival_0_5",0.987443222039214,438.424790585411,5.57520941458898,121,21.7032206329994
1999,"female","50 - 59",5,713,55,"survival_0_5",0.968659064010703,690.653912639631,22.3460873603688,251,11.2323914228114
1999,"female","60 - 69",5,1267,65,"survival_0_5",0.921720126539751,1167.81940032586,99.1805996741355,555,5.59585243307149
1999,"female","70 - 79",5,1872,75,"survival_0_5",0.792870585837973,1484.25373668869,387.746263311315,1004,2.58932218050521
1999,"female","80+",5,1783,90,"survival_0_5",0.335017764276813,597.336673705558,1185.66332629444,1315,1.10908381058709
1999,"male","0",5,199,0,"survival_0_5",0.992910774498942,197.589244125289,1.41075587471053,21,14.8856371087655
1999,"male","1 - 9",5,137,5,"survival_0_5",0.99924322211544,136.896321429815,0.103678570184712,11,106.097142161611
1999,"male","10 - 19",5,98,15,"survival_0_5",0.996175707447561,97.625219329861,0.374780670139018,18,48.0280906518558
1999,"male","20 - 29",5,123,25,"survival_0_5",0.992593040011301,122.08894392139,0.911056078609974,15,16.4644091095753
1999,"male","30 - 39",5,206,35,"survival_0_5",0.990125121223036,203.965774971945,2.03422502805458,52,25.5625603278168
1999,"male","40 - 49",5,392,45,"survival_0_5",0.980021575119474,384.168457446834,7.83154255316623,130,16.5995395054633
1999,"male","50 - 59",5,783,55,"survival_0_5",0.947776518970466,742.109014353875,40.8909856461252,300,7.33658030638418
1999,"male","60 - 69",5,1422,65,"survival_0_5",0.87182178616122,1239.73057992125,182.269420078745,654,3.58809502832376
1999,"male","70 - 79",5,1625,75,"survival_0_5",0.70268317816387,1141.86016451629,483.139835483711,994,2.05737537457416
1999,"male","80+",5,790,90,"survival_0_5",0.281271133322898,222.204195325089,567.795804674911,649,1.14301654689327
1999,"female","0",10,117,0,"survival_5_10",0.99958806507409,116.951803613669,0.0481963863314689,0,0
1999,"female","1 - 9",10,90,5,"survival_5_10",0.999428129850374,89.9485316865337,0.0514683134663443,3,58.2882903664938
1999,"female","10 - 19",10,141,15,"survival_5_10",0.998205285786056,140.746945295834,0.25305470416609,3,11.8551441668952
1999,"female","20 - 29",10,355,25,"survival_5_10",0.996999596383961,353.934856716306,1.06514328369389,4,3.75536330298035
1999,"female","30 - 39",10,443,35,"survival_5_10",0.992819588369645,439.819077647753,3.18092235224725,20,6.28748450457159
1999,"female","40 - 49",10,324,45,"survival_5_10",0.981883219794353,318.13016321337,5.86983678662961,31,5.2812371326256
1999,"female","50 - 59",10,462,55,"survival_5_10",0.954817046865003,441.125475651631,20.8745243483686,77,3.68870680428308
1999,"female","60 - 69",10,715,65,"survival_5_10",0.889640105871781,636.092675698323,78.9073243016766,180,2.28115706105847
1999,"female","70 - 79",10,870,75,"survival_5_10",0.696279680834055,605.763322325628,264.236677674372,347,1.3132166323542
1999,"female","80+",10,472,90,"survival_5_10",0.164040814329323,77.4272643634405,394.57273563656,315,0.798331895618217
1999,"male","0",10,178,0,"survival_5_10",0.999448119228449,177.901765222664,0.0982347773360743,2,20.3593885407581
1999,"male","1 - 9",10,126,5,"survival_5_10",0.999285201386998,125.909935374762,0.0900646252382558,1,11.1031384114974
1999,"male","10 - 19",10,80,15,"survival_5_10",0.994553823264139,79.5643058611311,0.435694138868882,2,4.59037618727728
1999,"male","20 - 29",10,108,25,"survival_5_10",0.991562547589475,107.088755139663,0.911244860336694,1,1.09739987957848
1999,"male","30 - 39",10,154,35,"survival_5_10",0.986453880427949,151.913897585904,2.08610241409585,9,4.31426565598447
1999,"male","40 - 49",10,263,45,"survival_5_10",0.971374646467041,255.471532020832,7.52846797916823,27,3.58638704112321
1999,"male","50 - 59",10,483,55,"survival_5_10",0.92701733820254,447.749374351827,35.2506256481732,78,2.21272668401681
1999,"male","60 - 69",10,769,65,"survival_5_10",0.831199363474816,639.192310512134,129.807689487866,192,1.47911114324199
1999,"male","70 - 79",10,638,75,"survival_5_10",0.605486485005384,386.300377433435,251.699622566565,254,1.00913937577648
1999,"male","80+",10,144,90,"survival_5_10",0.136811898309449,19.7009133565607,124.299086643439,79,0.635563801257986
1999,"female","0",15,115,0,"survival_10_15",0.999633051942458,114.957800973383,0.0421990266173253,0,0
1999,"female","1 - 9",15,86,5,"survival_10_15",0.998727643601359,85.8905773497169,0.109422650283122,2,18.2777514054464
1999,"female","10 - 19",15,137,15,"survival_10_15",0.997952675206302,136.719516503263,0.280483496736622,2,7.13054430392398
1999,"female","20 - 29",15,344,25,"survival_10_15",0.995121526294883,342.32180504544,1.67819495456024,3,1.78763497759778
1999,"female","30 - 39",15,417,35,"survival_10_15",0.989633176655002,412.677034665136,4.32296533486419,9,2.08190427237898
1999,"female","40 - 49",15,290,45,"survival_10_15",0.975537369284395,282.905837092475,7.09416290752546,26,3.66498490927229
