"country","transfusion_year","female_0 - 9","female_10 - 19","female_20 - 29","female_30 - 39","female_40 - 49","female_50 - 59","female_60 - 69","female_70 - 79","female_80 - 89","female_90+","male_0 - 9","male_10 - 19","male_20 - 29","male_30 - 39","male_40 - 49","male_50 - 59","male_60 - 69","male_70 - 79","male_80 - 89","male_90+"
"England",1970,0.963884054058697,0.91428167810018,0.799659665719156,0.51888097070782,0.107208593458143,0,0,0,0,0,0.937562947603625,0.870691666141599,0.711696258799549,0.376812232143851,0.0476884323758324,0,0,0,0,0
"England",1971,0.966706564491166,0.921676573384953,0.819584784397549,0.560396787432031,0.13771506648924,0,0,0,0,0,0.941768183182382,0.88209312052318,0.739336276636898,0.419280798241328,0.0663190263997281,0,0,0,0,0
"England",1972,0.969214994543787,0.92871498036358,0.836424758821519,0.598325536401256,0.172260662460968,0,0,0,0,0,0.945286211615667,0.892879760118295,0.763060321564,0.460188685444967,0.0884546680506313,0,0,0,0,0
"England",1973,0.9715369640096,0.935424269621348,0.851151226205148,0.631684943920159,0.211840931865216,0,0,0,0,0,0.948823193573626,0.902253555427548,0.782358956382287,0.497799941628455,0.114967458564739,0,0,0,0,0
"England",1974,0.973777475429055,0.941461668505491,0.862159190028542,0.662035287379133,0.255835207276085,0.0141390699084759,0,0,0,0,0.952020122151422,0.910295545452672,0.796731213726631,0.533739138161983,0.14606382292094,0.00424721379599889,0,0,0,0
"England",1975,0.976073668289161,0.946868332487272,0.873349969375154,0.689993461837106,0.301707149301361,0.0221777571530442,0,0,0,0,0.955793048779105,0.917658383873894,0.811526860951196,0.566175403237368,0.180945585766161,0.00707372954478494,0,0,0,0
"England",1976,0.978318383415942,0.951623950327376,0.883722058516166,0.718271518078682,0.349463940401541,0.032850857553534,0,0,0,0,0.958668227898377,0.924596094299354,0.825994268268711,0.600444403281005,0.220958158973284,0.0113890152576866,0,0,0,0
"England",1977,0.980006997097079,0.956070280034631,0.893506105153459,0.745759304448546,0.397064893164061,0.0465291930931805,0,0,0,0,0.961319385498868,0.930709585383976,0.83972399101021,0.635136384998681,0.262411441247892,0.0172278251240223,0,0,0,0
"England",1978,0.981556882067901,0.960065090808224,0.902257946837801,0.770205219431709,0.444809139172362,0.0652537410208533,0,0,0,0,0.96382516773759,0.936361658142169,0.853090059600708,0.669053931793686,0.306187507697172,0.0266090173253243,0,0,0,0
"England",1979,0.983025530725785,0.963624163504372,0.910714511700442,0.790975889628726,0.491301383988147,0.089215995236983,0,0,0,0,0.966519072788534,0.940965210240342,0.865846362024962,0.697455681215938,0.351503289852926,0.0396902407060076,0,0,0,0
"England",1980,0.984680448200676,0.96684044607032,0.918843655175325,0.809152668059617,0.536204688872046,0.117793181364646,0,0,0,0,0.969350480947726,0.945165767313216,0.878624911807454,0.723961184452954,0.397241984247507,0.0564783602182067,0,0,0,0
"England",1981,0.986024316939605,0.969629906290866,0.926217060928504,0.829088487922372,0.578639037537485,0.151121463431253,0,0,0,0,0.972016629190848,0.949339524635271,0.89015340517109,0.751739311431552,0.441378334757483,0.0782024306745611,0,0,0,0
"England",1982,0.987159537451902,0.97224511715812,0.933168764935096,0.845858630926987,0.617215063580753,0.188641667328435,0,0,0,0,0.974555330126205,0.952940188249942,0.901043127721697,0.775569189131407,0.483645042409488,0.103715620941587,0,0,0,0
"England",1983,0.988228754898316,0.97457629588031,0.939826542618136,0.860447040100441,0.651225883592476,0.231331867932081,0,0,0,0,0.976666361926141,0.95646272707535,0.910437933032273,0.795284529790636,0.522637317273751,0.134137997887676,0,0,0,0
"England",1984,0.989229782798438,0.976799389371358,0.945712570391696,0.871539458287029,0.68229116959119,0.278688181834568,0.0177370173343532,0,0,0,0.978575145599753,0.959652744648026,0.918643913355574,0.810069460394613,0.559929251156367,0.169480288746661,0.00639863395051784,0,0,0
"England",1985,0.990190185408356,0.979033173803732,0.951107489499013,0.88287055787326,0.711038470955893,0.327870184071914,0.0277256892729471,0,0,0,0.980066696470454,0.963257297880195,0.926199418027048,0.825146654343567,0.593717119935101,0.208800325850625,0.0105742096913734,0,0,0
"England",1986,0.99093735522293,0.98121206103243,0.955857629514133,0.893425485928159,0.739907159973576,0.37893186295236,0.0409364890329783,0,0,0,0.981450456744227,0.966145269408174,0.933366113083721,0.839951095225071,0.628994842869047,0.253680552839551,0.0168678804790228,0,0,0
"England",1987,0.991739628698033,0.982962694707586,0.960346804140084,0.903330524848528,0.76756219280758,0.429454130597162,0.0580123276858977,0,0,0,0.982899074470663,0.968773473116041,0.939581782024213,0.85422504517297,0.664391800785193,0.299934940241935,0.0254643338464457,0,0,0
"England",1988,0.992533619205737,0.984497557481889,0.964305447951351,0.912103723759813,0.79207363760985,0.480061287136574,0.0812010408372523,0,0,0,0.984466055121306,0.971352154219606,0.945416407527683,0.868050544815111,0.698786430685998,0.348500811149022,0.038980780018192,0,0,0
"England",1989,0.993257639526744,0.985974551137391,0.967823102455367,0.920481166820657,0.813103840122464,0.529004554784179,0.110696434891198,0,0,0,0.986102552111271,0.974031994735965,0.950122481583095,0.88091754677167,0.727844308705006,0.398324916564433,0.0576048661638471,0,0,0
"England",1990,0.993845985820715,0.987552441975183,0.971045623546081,0.928473450529464,0.83167889576779,0.5762298651644,0.145651831341287,0,0,0,0.987378099414983,0.976793530236576,0.954527280553171,0.893598866515929,0.754757541216067,0.448212053445619,0.0812006849910114,0,0,0
"England",1991,0.994582897481334,0.988912100662117,0.973845272152667,0.935794803896911,0.851529001063063,0.620575639206923,0.185957827708503,0,0,0,0.988492041762681,0.979338046645308,0.958703044353268,0.905031791623064,0.782598011496572,0.496181093490842,0.111134517727292,0,0,0
"Northern Ireland",1970,0.962843213343156,0.904499527163254,0.787092820822256,0.497248024664743,0.0939365186983599,0,0,0,0,0,0.928809266009372,0.861846718670911,0.687026219366373,0.340980224168963,0.0375304291853549,0,0,0,0,0
"Northern Ireland",1971,0.965203233248981,0.914525002610333,0.807034203541435,0.538668626840277,0.125462510108446,0,0,0,0,0,0.933364438922315,0.873730402886649,0.719318230041651,0.386006128908996,0.0527566557513019,0,0,0,0,0
"Northern Ireland",1972,0.967828239246289,0.922123111666878,0.82160528986558,0.574093949908707,0.157967683499914,0,0,0,0,0,0.937013508706746,0.886569844436058,0.741089261201369,0.427990613861016,0.0714228182167154,0,0,0,0,0
