"country","transfusion_year","female_0 - 9","female_10 - 19","female_20 - 29","female_30 - 39","female_40 - 49","female_50 - 59","female_60 - 69","female_70 - 79","female_80 - 89","female_90+","male_0 - 9","male_10 - 19","male_20 - 29","male_30 - 39","male_40 - 49","male_50 - 59","male_60 - 69","male_70 - 79","male_80 - 89","male_90+"
"England",1970,0.945086482705995,0.889957807697897,0.781045401603587,0.501087722040091,0.0895402259137428,0,0,0,0,0,0.888739769805592,0.829765974582147,0.687858130418056,0.356551540734965,0.0343592675493054,0,0,0,0,0
"England",1971,0.948123575724339,0.897406355922893,0.800978055766232,0.541748220971032,0.11531886335493,0,0,0,0,0,0.893713338388459,0.840450628558714,0.715376786145955,0.397343871109562,0.0482226186712454,0,0,0,0,0
"England",1972,0.950036187274172,0.905058974718533,0.817942834461215,0.5790229340947,0.144828107804059,0,0,0,0,0,0.897114093494941,0.850596577973762,0.738965773019925,0.436872386302887,0.0650296016569483,0,0,0,0,0
"England",1973,0.952461131696951,0.911987073161383,0.832909012865992,0.611896270050973,0.178986475297362,0,0,0,0,0,0.90074078447453,0.859810426269261,0.757613481251874,0.47321259329401,0.0853458660195315,0,0,0,0,0
"England",1974,0.954813087611831,0.918596758341813,0.843746865527602,0.641478551720205,0.217178177686803,0.011860196854204,0,0,0,0,0.903703946660502,0.867000335229649,0.771040338975867,0.507859385034314,0.109550299749114,0.00307560642572329,0,0,0,0
"England",1975,0.957463824434937,0.923811847710164,0.854683831843712,0.668644539531178,0.257335033787873,0.0186543933689542,0,0,0,0,0.908375032095577,0.873346847267146,0.785047156155748,0.538910095393845,0.137198668489181,0.00515754000019785,0,0,0,0
"England",1976,0.959791511004806,0.92853833272448,0.864739949237539,0.696182268616169,0.299305555415554,0.0277026156509564,0,0,0,0,0.910838106315721,0.879422412817327,0.798674373092874,0.572109347552283,0.169259076667844,0.00836645658516071,0,0,0,0
"England",1977,0.9611653637579,0.932873738163503,0.874331678520117,0.723606028538847,0.341739547268016,0.0392202299839933,0,0,0,0,0.913445311808208,0.885048336914251,0.811190790545363,0.605986431945774,0.202858472376486,0.0126758935408207,0,0,0,0
"England",1978,0.962767544064555,0.937157291195938,0.883108029707391,0.748116550307785,0.384499813993152,0.0551001224021308,0,0,0,0,0.915659281116839,0.890001056182011,0.82371514095533,0.639661211641734,0.238640091538285,0.0197184553473584,0,0,0,0
"England",1979,0.964323290268002,0.940968799257317,0.891764867452901,0.768746123109333,0.426717794856684,0.0755296711575403,0,0,0,0,0.918953730101812,0.89408139783405,0.836303986849503,0.667165333526785,0.276321103447983,0.0296372724129543,0,0,0,0
"England",1980,0.966463324600223,0.943988576497052,0.900050447568599,0.786409514555975,0.467744720210202,0.100021366489654,0,0,0,0,0.923034360137944,0.897577004724317,0.849280536496269,0.69341114071386,0.314992899681117,0.0424952770876845,0,0,0,0
"England",1981,0.967840170814767,0.946780023098133,0.907519543507885,0.80639456777876,0.506643351170771,0.128760880128999,0,0,0,0,0.926294351976779,0.9016776526621,0.860840466323076,0.720944600126047,0.352644441921184,0.0593833824142935,0,0,0,0
"England",1982,0.968926618895629,0.949010981563007,0.914299270998977,0.823083094616631,0.542022478039198,0.161359584430676,0,0,0,0,0.929517163837406,0.904326799291878,0.871999425988268,0.745057589990859,0.389305074804859,0.0794176671063172,0,0,0,0
"England",1983,0.97007023774433,0.951470006823458,0.921063188000436,0.837609290605248,0.572979284460403,0.19879792536495,0,0,0,0,0.932391384479029,0.908039461188001,0.881230673407334,0.764344265165819,0.422854631606544,0.103812203946913,0,0,0,0
"England",1984,0.971460396279499,0.953792687778052,0.926892833564056,0.848175161005889,0.601654218527979,0.240840221489523,0.0152364265092642,0,0,0,0.935357593286273,0.911192369459659,0.889594613287303,0.778000514643161,0.454913027009963,0.132588165320207,0.00503620183991691,0,0,0
"England",1985,0.972482043299507,0.956554903123368,0.932676095382014,0.859205247397219,0.6286164331515,0.284795941891665,0.0238907410625245,0,0,0,0.937547540576106,0.915414072536571,0.896977978140813,0.792241245930743,0.484318739938877,0.165208271329926,0.0083738976818564,0,0,0
"England",1986,0.973087949231372,0.959283618536938,0.937571358625026,0.869977686101332,0.6560734274653,0.331042601387377,0.0353141733783781,0,0,0,0.938540962384623,0.917623390656848,0.904082254001303,0.806264014510934,0.515454823088519,0.202818358429648,0.0133858481165918,0,0,0
